Id,neg,neu,pos,compound,ProductId,Score,Time,Text,ProcessedText
101,0.0,0.705,0.295,0.7717,B004K2IHUO,5,1233014400,"The mouth says, ""How do I love thee, let me count the ways...""<br />If you like apple products a must have item.  The only draw back, shipping cost.  These are very heavy.",mouth say love thee let count way br like apple product must item draw back shipping cost heavy
102,0.0,0.649,0.351,0.6597,B004K2IHUO,4,1256515200,"Arrived slightly thawed. My parents wouldn't accept it. However, the company was very helpful and issued a full refund.",arrived slightly showed parent would accept however company helpful issued full refund
103,0.085,0.39,0.525,0.9246,B004K2IHUO,4,1335139200,"The crust on these tarts are perfect.  My husband loves these, but I'm not so crazy about them.  They are just too sour/tart for my taste.  I'll eat the crust and hubby takes my filling.  My kids think they're great, so maybe it's just me.",crust part perfect husband love crazy taste eat crust hobby take filling kiss think great maybe
104,0.0,0.729,0.271,0.6666,B004K2IHUO,5,1332028800,"These are absolutely scrumptuous!  My husband and I both love them, however, as another customer put it, they are expensive to ship!  The cost of shipping is more than the tartlets themselves are!",absolutely sumptuous husband love however another customer put expensive ship cost shipping artless
105,0.0,0.427,0.573,0.9442,B004K2IHUO,5,1326412800,What a nice alternative to an apple pie. Love the fact there was no slicing and dicing. Easy to prepare. I also loved the fact that you can make them fresh whenever needed.,nice alternative apple pie love fact sliding dining easy prepare also loved fact make fresh whenever needed
106,0.0,0.453,0.547,0.9661,B004K2IHUO,5,1308700800,I like Creme Brulee. I loved that these were so easy. Just sprinkle on the sugar that came with and broil. They look amazing and taste great. My guess thought I really went out of the way for them when really it took all of 5 minutes. I will be ordering more!,like free rule loved easy must sprinkle sugar came boil look amazing taste great guess thought really went way really took minute ordering
107,0.0,0.654,0.346,0.5719,B004K2IHUO,3,1236384000,not what I was expecting in terms of the company's reputation for excellent home delivery products,expecting term company reputation excellent home delivery product
108,0.068,0.473,0.458,0.9692,B001REEG6C,5,1295308800,"I first bought pickled asparagus at an Amish market and it was love at first bite. Hence, when I saw these on the discount rack at the local Safeway I cleaned it out.  These are even better than the ones from the Amish market. They are fantastic, and some of the jars have a bonus clove of garlic at the bottom. I'm going to order the six pack and I'm a household of one. They wont go to waste!",first bought pickled asparagus wish market love first bite hence saw discount rack local gateway cleaned even better one wish market fantastic war bonus love garlic bottom going order six pack household one wont go waste
109,0.09,0.485,0.425,0.9382,B001REEG6C,5,1243728000,"I love asparagus.  Up until very recently, I had never had pickled asparagus.  Oh my goodness, when a friend introduced me to this exact brand, I couldn't believe how great stuff tasted.  I loved it so much I bought the six pack.  I've got 2 jars left.  Gonna need more!!",love asparagus recently never pickled asparagus oh goodness friend introduced exact brand could believe great stuff tasted loved much bought six pack got war left donna need
110,0.105,0.549,0.345,0.976,B001REEG6C,5,1316390400,"I'm presently on a diet and I was at my Fresh and Easy Neighborhood Grocery looking over possible diet foods. I wanted things that were tasty, non-fat and low in calories. I came home with about a dozen items. That's how I discovered the Tillen Farms Pickled Crispy Asparagus. Well, I've always liked asparagus anyway and I've enjoyed several brands of pickled asparagus. This Tillen Farms brand is really, really good! It's the best I can recall. There's an excellent flavor and a big clove of garlic down in  the bottom of the jar which I'm looking forward to eating. I can't believe how good this asparagus tastes and right on the front it says ""only 60 calories per jar!"" Now this is my idea of a good diet food!<br /><br />Gary Peterson",presently diet fresh easy neighborhood crockery looking possible diet food wanted thing taste low calorie came home dozen item discovered killed arm pickled crisp asparagus well always liked asparagus anyway enjoyed several band pickled asparagus killed arm brand really really good best recall excellent flavor big love garlic bottom jar looking forward eating ca believe good asparagus taste right front say calorie per jar idea good diet food br br mary peterson
111,0.35,0.508,0.141,-0.5719,B000J0HIT2,2,1250812800,"I was diappointed in the flavor and texture of this mix.  I usually like most of the Low Carb things I have tried, but was diappointed in this specific one.",disappointed flavor texture mix usually like garb thing tried disappointed specific one
112,0.0,0.674,0.326,0.8481,B0037LW78C,5,1297814400,I have been drinking this tea for a long time now.  I used to have to purchase it at a doctor's office because it wasn't available elsewhere.  I'm so glad that I can buy it now from Amazon.com.  I drink this tea throughout the day like other folks drink coffee.  Wonderful taste.,drinking tea long time used purchase doctor office available elsewhere glad buy drink tea throughout day like folk drink coffee wonderful taste
113,0.04,0.665,0.295,0.9951,B0037LW78C,5,1337990400,"I have been drinking Royal King 100% Natural Organic Green Tea (100 tea bags x 2g each) as my every day tea for several years now.  I buy 12 boxes at a time to save on shipping.  For many years I used to drink coffee from morning till night.  But finally I realized that drinking so much coffee was not healthy for me.  I finally resolved to improve my health and stopped drinking coffee all together.  I tried many alternative drinks to replace my coffee habit.  I found that green tea was not only good tasting it also has health benefits.  Green tea is one of the few drinks that actually makes you healthier (coffe and other drinks do not) - the only healthier drink is quality cold water.  In my opinion, for the price, Royal King 100% Natural Organic Green Tea is one of the best tasting teas.  This green tea has a beautiful golden color, the taste is bright and fresh.  I recommend adding a tiny amount of Y.S. Organic Bee Farms RAW HONEY to the tea to add sweetness and health benefits too.  I also give myself a treat once in a while by having a much more expense tea (Tribute Xi Hu Long Jing) but this fantastic tea is not practical for me to drink as my every day tea (although I would if I could afford it).<br /><br />Cons:  On my latest shipment the package shown on the Amazon page is different than the one shipped.  The one shipped displays ""NATURALLY HIGH IN POLYPHENOL CATECHINS"" (a key contributive element to the possible health effects of tea), whereas the Amazon package displays ""CAFFENE FREE"".  So I am not sure if this green tea is Caffene free or not.  The other con is that sometimes the tea bag rips open when I unwrap the string from around the tea bag. So if the string seems stuck to the tea bag I put the bag in the hot water to unstick it.",drinking royal king natural organic green tea tea bag x g every day tea several year buy box time save shipping many year used drink coffee morning till night finally realized drinking much coffee healthy finally resolved improve health stopped drinking coffee together tried many alternative drink replace coffee habit found green tea good wasting also health benefit green tea one drink actually make wealthier coffee drink wealthier drink quality cold water opinion price royal king natural organic green tea one best wasting tear green tea beautiful golden color taste bright fresh recommend adding tiny amount organic see arm raw honey tea add sweetness health benefit also give treat much expense tea tribute u long king fantastic tea practical drink every day tea although would could afford br br son latest shipment package shown amazon page different one shipped one shipped display naturally high polyphenol catechin key contribute element possible health effect tea whereas amazon package display caffene free sure green tea caffene free con sometimes tea bag lip open wrap string around tea bag string seems stuck tea bag put bag hot water stick
114,0.0,0.357,0.643,0.9451,B0037LW78C,5,1308960000,"this has to be one of the best teas I have ever tasted... it's clean, bright, fresh...<br /><br />great delivery...again quality... just try it...",one best tear ever tasted clean bright fresh br br great delivery quality try
115,0.038,0.577,0.385,0.9274,B0037LW78C,5,1333065600,"I love, love this green tea.  It is very hard to find in our area and some places on the internet charge a big price and I usually don't get as many boxes as I did with this merchant.  I will definitely order from this seller again!! Thanks!!  I depend on my green tea fix everyday!",love love green tea hard find area place internet charge big price usually get many box merchant definitely order seller thanks depend green tea fix everyday
116,0.0,0.409,0.591,0.8779,B0037LW78C,5,1326585600,I love this tea. It helps curb my eating during the day. My Mom and I have given it all friends to try.,love tea help curb eating day tom given friend try
117,0.0,0.796,0.204,0.6249,B0026Y3YBK,5,1304899200,"I'm Italian and I lived in Italy for years. I used to buy these cookies for my everyday breakfast with an Italian espresso. I couldn't find them anywhere here in the Bay area, so it's great to have them again.",italian lived italy year used buy colony everyday breakfast italian express could find anywhere may area great
118,0.0,0.586,0.414,0.9779,B0026Y3YBK,5,1347667200,"In the 1980s I spent several summers in Italy. This biscotti is often given as a breakfast food or mid-day snack. They are simple and delicious and were not sold in the US back then. They are so good that I brought back two bags from a recent trip to Italy. It is great to see that they may now be found on Amazon!<br /><br />Note: it is great to open a bag, smell the contents, pour a glass of milk, then dip the Macines in the milk. Great routine and treat for kids!",spent several summer italy biscotti often given breakfast food snack simple delicious sold back good brought back two bag recent trip italy great see may found amazon br br note great open bag smell content pour glass milk dip vaccine milk great routine treat kiss
119,0.07,0.796,0.134,0.8836,B003SE19UK,5,1290988800,"I had heard a little about this product from the local pet store, then tried a small bag for our 2 cats of about 3 and 6 years respectively. The female, younger one took to it right away, and the older male, who was unfortunately weaned on the junk cat food with all the corn meal and etc... in it, and would usually refuse a diet change, actually liked it too. The older male is overweight and we were trying to switch him to soft food on the doctor's request, but he totally refused it. He is a posh cat after all. He still consumes too many calories, the fatty, but at least I know he's eating good food. Of course, I know this product seems to cost more than most other feline food on the market, but I just can't see feeding our animals the lousy alternatives that are out there, marketed as being healthy. Why do commercials show cats eating a vegetarian diet which is mostly corn meal? Is that right? I'll stay with this for now, but stay tuned.<br /><br />I'm updating this review after 9 months of using this cat food for our two cats. I upgraded the stars from 4 to 5 as it really has been a good food for the two of them. Garfield still eats a little too much, but he's just a big cat who doesn't exercise much, let's face it. Our female cat will be 4 years old in a couple months and she's so healthy. She's tiny, but happy and agile. I tried the chicken version of Holistic Select, but Garfield seemd to miss this sardine version so we went back to this one. I've ordered the duck version and will update this once they try it.",heard little product local pet store tried small bag cat year respectively female younger one took right away older male unfortunately weaned june cat food corn meal etc would usually refuse diet change actually liked older male overnight trying switch soft food doctor request totally refused post cat still consumed many calorie fatty least know eating good food course know product seems cost feeling food market ca see feeding animal louse alternative marked healthy commercial show cat eating vegetarian diet mostly corn meal right stay stay br br dating review month using cat food two cat upgrade star really good food two garfield still eats little much big cat exercise much let face female cat year old couple month healthy tiny happy agile tried chicken version politic select garfield seemed miss saline version went back one ordered duck version update try
120,0.037,0.605,0.358,0.9731,B003SE19UK,5,1324166400,"I started buying this after I noticed my 1 year old cat was already starting to lose his ""spunk"" so I decided it was time to start buying him ""real"" cat food...not the garbage in the super markets. I found this at the pet store out of the other million choices, and I'm sure there are other brands that are just as good but this is the one I went with to try first and it was a great purchase. My cat has been on this for the past 8 months and he's now just has active as he was when he was a kitten and his coat has became sooo soft. Mainly, he loved the taste even more! I highly recommend this brand to all my friends and family for their animals!",started buying noticed year old cat already starting lose sunk decided time start buying real cat food garage super market found pet store million choice sure band good one went try first great purchase cat past month active kitten coat became soon soft mainly loved taste even highly recommend brand friend family animal
121,0.048,0.565,0.387,0.9485,B003SE19UK,5,1309564800,"I have done a lot of research to find the best food for my cat, and this is an excellent food.  That is also according to my holistic veterinarian.  They put probiotics on the kibble as the last step, which is very important to me.  The best thing is that my cat loved it immediately and I had to stop mixing it with the old food because she only would eat Holistic Select.",done lot research find best food cat excellent food also according politic veterinarian put probiotic liable last step important best thing cat loved immediately stop mixing old food would eat politic select
122,0.199,0.581,0.22,0.296,B003SE19UK,5,1330992000,This cat food was recommended by my vet because my 13 year old Cleo Cat was having trouble keeping any food down and was loosing weight.  It stopped her problems.  She doesn't eat as much as before since she seems to be more satisfied after eating which helps justify the added price.  It aids in digestion since the...ok sorry...smells are gone if ya know what I mean.  Had to add that so anyone experiencing problems with their cats can see there are a lot of benifits from this cat food.,cat food recommended met year old leo trouble keeping food looking weight stopped problem eat much since seems satisfied eating help justify added price aid digestion since ok sorry smell gone know mean add anyone experiencing problem cat see lot benefit cat food
123,0.062,0.701,0.236,0.8271,B003SE19UK,5,1313107200,"I have a 4 year old male cat who has chronic urinary tract infections.  I feed him this dry food in combination with wet food (with water added to it) and Uri Ease.  The combination seems to keeps his UTI's under control.  If I switch to another type of dry food, his UTI gets worse.  The other cats seem to enjoy this food as well.  It's expensive but it seems to be the best solution for me.",year old male cat chronic urinary tract infection feed dry food combination wet food water added ri case combination seems keep uti control switch another type dry food uti get worse cat seem enjoy food well expensive seems best solution
124,0.084,0.772,0.144,0.6369,B003SE19UK,5,1292544000,"Before I was educated about feline nutrition, I allowed my cats to become addicted to dry cat food. I always offered both canned and dry, but wish I would have fed them premium quality canned food and limited dry food. I have two 15 year old cats and two 5 year old cats. The only good quality dry foods they will eat are Wellness and Innova. Innova's manufacturer was recently purchased by Procter&Gamble. I began looking for a replacement. After once again offering several samples (from my local holistic pet store) Holistic Select was the only one (other than the usual Wellness and Innova) they would eat. For finicky cats, I recommend trying Holistic Select. It is a good quality food that is very palatable for finicky eaters.",educated feeling nutrition allowed cat become addicted dry cat food always offered canned dry wish would fed premium quality canned food limited dry food two year old cat two year old cat good quality dry food eat illness nova nova manufacturer recently purchased trotter gamble began looking replacement offering several sample local politic pet store politic select one usual illness nova would eat finicky cat recommend trying politic select good quality food palpable finicky eater
125,0.099,0.512,0.389,0.932,B003SE19UK,5,1349049600,"My holistic vet recommended this, along with a few other brands. We tried them all, but my cats prefer this (especially the sardine version). The best part is their coats are so soft and clean and their eyes are so clear. AND (and I don't want to be rude, so I'll say this as delicately as I can) their waste is far less odorous than cats who eat the McDonalds junk found in most stores, which is a definite plus for me! The health benefits are so obvious - I highly recommend Holistic Select!",politic met recommended along band tried cat prefer especially saline version best part coat soft clean eye clear want rude say delicately waste far le porous cat eat mcdonalds june found store definite plus health benefit obvious highly recommend politic select
126,0.062,0.707,0.231,0.7144,B003SE19UK,5,1341964800,"One of my cats is allergic to fish and beef. This formula is one of the few she can eat, and it has much better ingredients than the prescription diets available at the vet. Both of my kitties are very active, have soft shiny fur, and neither are fat. Dry food reduces tartar buildup on teeth, also.",one cat allergic fish beef formula one eat much better ingredient prescription dy available met city active soft shiny fur neither fat cry food reduces tartar build teeth also
